Viktoria + Woods,,,
ltgreen,,,
assess,ethical clothing australia accreditation,Social: Praise,"Accredited and licensed to display the 'Ethical Clothing Australia' Trade Mark on their Australian-made garments, which ensures Australian workers receive fair wages and decent conditions.
[Source 2017][More on Workers Rights]"
assess,Outworkers,Social: minor criticism,"In June 2014 the Textile Clothing and Footwear Union of Australia (TCFUA) began Federal Circuit Court proceedings against 23 companies (including this one) who own many leading fashion labels, over alleged breaches of laws preventing the exploitation of outworkers. These outworkers, usually migrant women, work long hours for very low wages, some for as little as $5-6 an hour.
[Source 2014][More on Workers Rights]"
product,Viktoria,Womens Fashion,
