Mr K
grey
assess,Previous ethical clothing australia accreditation,Social: information,"This company was previously accredited and licensed to display the 'Ethical Clothing Australia' Trade Mark on their Australian-made garments, which ensures Australian workers receive fair wages and decent conditions. Their accreditation ceased in Nov 2016.
[Source 2016][More on Workers Rights]"
product,Eve Hunter,Womens Fashion
product,Flirt,Womens Fashion
product,Laura K,Womens Fashion
product,Mr K,Womens Fashion
