CAG
orange
assess,F grade at Behind the Barcode,Social: Criticism,"F grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Responsibility & governance claims,Business Ethics: minor praise,"This company has ethical responsibility claims on its website, including a code of conduct and efforts in the areas of sourcing, production, packaging and transport.
[Source 2017][More on Sustainability Reporting]"
product,CEO,Menswear (formal)
product,Ron Bennett,Menswear (formal)
product,Sew253,Menswear (formal)
product,Tony Barlow,Menswear (formal)
