Tree of Life
grey
assess,Ethical sourcing claims,Business Ethics: minor praise,"This company has claims on its website that there is fair and ethical sourcing of goods and that they invest in long term partnerships with their suppliers who are family owned businesses. 
[Source 2016][More on Sustainability Reporting]"
assess,C+ grade at Behind the Barcode,Social: information,"C+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
product,Tree of Life,Womens Fashion
