Gazal
yellow
assess,Australian Packaging Covenant signatory,Environment: lesser praise ,"Signatory to the Australian Packaging Covenant, a voluntary agreement to encourage waste minimisation.
[Source 2017][More on Packaging]"
assess,D- grade at Behind the Barcode,Social: lesser criticism,"D- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,No Human rights policy,Social: minor criticism,"GAZAL is mentioned in the 'Workplace human rights Reporting: A study of Australian garment and retail companies' paper as having no policies or inadequate policies regarding human rights areas such as 'forced or compulsory labour', 'freedom of association', and 'child labor'. Information gathered was from annual reports, CSR reports, and the corporate website, for the 2009/2010 year. 
[Source 2012][More on Human Rights]"
assess,Policies on Fair wage and decent living,Social: minor praise,"Gazal is mentioned in the 'Workplace human rights Reporting: a study of Australian garment and retail companies' paper as having policies on 'Fair wage and decent living' - stating that they were paying their employees in accordance with local and national wage awards and statutes. Information gathered was from annual reports, CSR reports, and the corporate website, for the 2009/2010 year. Policy in there areas are particularly important in the clothing and electronics industries (though policy does not imply compliance).
[Source 2012][More on Human Rights]"
assess,Corporate governance policies,Business Ethics: minor praise,"This company has a number of publicly available corporate governance documents on its website including a human rights policy.
[Source 2012][More on Sustainability Reporting]"
product,Bisley,Workwear
product,Midford,Childrenswear
