AS Colour
ltgreen
assess,B- grade at Behind the Barcode,Social: lesser praise ,"B- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Social responsibility claims,Business Ethics: minor praise,"This company has social responsibility claims on its website including sourcing from hand-picked factories with safe, fair, legal and humane working conditions
[Source 2016][More on Sustainability Reporting]"
product,AS Colour,Menswear (casual)
product,AS Colour,Womens Fashion
product,AS Colour,Childrenswear
