Fusion Retail Brands
grey
assess,Copyright infringements,Business Ethics: minor criticism,"In 2008 Jag paid $305,000 to UK Fashion label Ted Baker in an out-of-court settlement over copyright infringements claims.
[Source 2008][More on Governance]"
assess,Global Sourcing Guidelines,Social: minor praise,"Follow the link to see this company's stated Global Sourcing Guidelines
[Source 2012][More on Workers Rights]"
assess,C- grade at Behind the Barcode,Social: information,"C- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
product,Colorado,Mens Shoes
product,Colorado,Womens Shoes
product,Diana Ferrari,Womens Fashion
product,Diana Ferrari,Womens Shoes
