Kate Sylvester
ltgreen
assess,Sustainable Business Network member (NZ),Business Ethics: lesser praise ,"Sustainable Business Network is a New Zealand organisation which provides advice and support to help businesses succeed through becoming more sustainable. They support members year-round with networking opportunities, practical tools, training and sustainability assessments.
[Source 2010][More on Governance]"
assess,Fur free,Animals: minor praise,"This designer label is listed on the Humane Society International Australia website as being committed to a fur free fashion industry.
[Source 2017][More on Animal Rights]"
assess,Sustainability claims,Business Ethics: minor praise,"On their own website, this company claims: All clothing is made in New Zealand. Corporate carbon emissions are measured by an independent third party so that they can be reduced. They are beginning to incorporate organic cotton and eco merino fabrics in to its clothing. They are investigating sustainable and ethical fabric options and intend to use these sources where possible. Sustainability measures in offices and stores include recycling, a worm farm, and low emission vehicles.
[Source 2010][More on Sustainability Reporting]"
assess,Eco-profile,Information,"Features in the Eco-Ethical Fashion Directory with a details of eco and sustainable actions taken. Also all merino wool is Zque graded (tracing where it has come from).
[Source 2013]"
product,Kate Sylvester,Womens Fashion
