Ginger & Smart
grey
assess,Fur free,Animals: minor praise,"This designer label is listed on the Humane Society International Australia website as being committed to a fur free fashion industry.
[Source 2017][More on Animal Rights]"
assess,Previous ethical clothing australia accreditation,Social: information,"This company was previously accredited and licensed to display the 'Ethical Clothing Australia' Trade Mark on their Australian-made garments, which ensures Australian workers receive fair wages and decent conditions. Their accreditation ceased in Aug 2017.
[Source 2017][More on Workers Rights]"
product,Ginger & Smart,Womens Fashion
