Ben Sherman Australia
grey
assess,Corporate responsibility claims,Business Ethics: minor praise,"This company has a Supplier Code of Conduct on its website, plus other corporate responsibility claims.
[Source 2017][More on Sustainability Reporting]"
assess,C- grade at Behind the Barcode,Social: information,"C- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
product,Ben Sherman,Womens Fashion
product,Ben Sherman,Menswear (casual)
product,Ben Sherman,Youth Fashion
