Oxford
orange
assess,F grade at Behind the Barcode,Social: Criticism,"F grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Ethical sourcing claims,Business Ethics: minor praise,"This company has a ethical sourcing claims on its website.
[Source 2017][More on Sustainability Reporting]"
product,Oxford,Menswear (formal)
product,Oxford,Menswear (casual)
product,Oxford,Womens Fashion
