Audrey Blue
green
assess,Exclusively organic products,Environment: Praise,"All of their garments are certified under the Global Organic Textile Standard (GOTS).
[Source 2016][More on Eco-Certification]"
assess,Exclusively Fairtrade,Social: Praise,"All of the products this company sells are Fairtrade certified.
[Source 2017][More on Workers Rights]"
assess,A+ grade at Behind the Barcode,Social: Praise,"A+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
assess,Ethical Fashion Forum listing,Business Ethics: Praise,"This company is listed on the Ethical Fashion Forum (EFF) website and included in their Fellowship 500. All businesses listed in the Fashion Brands category (such as this one) have had their ethical credentials reviewed  against EFF's Ethical Mandate, which looks at minimum labour standards, sustainable livelihoods, environmental standards, progressive practices, transparency and quality standards.
[Source 2015][More on Governance]"
product,Audrey Blue,Womens Fashion
product,,Underwear/Socks/Sleepwear
