3Fish,,,
green,,,
assess,Exclusively organic products,Environment: Praise,"Every item in their retail clothing range is made from Australian Certified Organic (ACO) cotton.
[More on Eco-Certification]"
assess,Make Fashion Traffik Free Protocol signatory,Business Ethics: minor praise,"This company has signed the Make Fashion Traffik Free Protocol, an initiative of Stop the Traffik Australia. Fashion companies that sign the Protocol commit to fully tracing their supply chain and to work to ensuring better working conditions.
[Source 2016][More on Multi-Stakeholder Initiatives]"
assess,Organic cotton,Environment: lesser praise ,"Two of this company's four brands use Control Union certified organic cotton exclusively.
[Source 2014][More on Eco-Certification]"
assess,ethical clothing australia accreditation,Social: lesser praise ,"This company's flagship brand, Certton, is accredited and licensed to display the 'Ethical Clothing Australia' Trade Mark on their Australian-made garments, which ensures Australian workers receive fair wages and decent conditions. Please note that this company's three other brands are not Ethical Clothing Australia accredited.
[Source 2017][More on Workers Rights]"
assess,Fairtrade products,Social: minor praise,"This company sells Fairtrade Certified products.
[Source 2017][More on Workers Rights]"
product,3Fish,Womens Fashion,
