Bardot
grey
assess,Previous ethical clothing australia accreditation,Social: information,"This company was previously accredited and licensed to display the 'Ethical Clothing Australia' Trade Mark on their Australian-made garments, which ensures Australian workers receive fair wages and decent conditions. Their accreditation ceased in Jan 2013.
[Source 2013][More on Workers Rights]"
assess,C- grade at Behind the Barcode,Social: information,"C- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]"
product,Bardot,Youth Fashion
product,Bardot Junior,Childrenswear
product,Bardot Junior,Babywear
