Vivienne Westwood
orange
assess,Ethical Fashion Initiative partner,Social: lesser praise ,"This company is collaborating with the Ethical Fashion Initiative, a United Nations initiative which connects the fashion business with artisans in Africa and Haiti. It provides work for marginalized women who have a strong desire to change their lives. The project provides employment, fair wages and training.
[Source 2012][More on Workers Rights]"
assess,'E' rating at rankabrand.org,Business Ethics: Criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received an 'E', the lowest possible score.
[Source 2017][More on Sustainability Reporting]"
product,Vivienne Westwood Red Label,Womens Fashion
