Max Mara Fashion Group
red
assess,'E' rating at rankabrand.org,Business Ethics: Criticism,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received an 'E', the lowest possible score.
[Source 2017][More on Sustainability Reporting]"
assess,Use of fur,Animals: lesser criticism,"This company has used fur in factory made clothing lines, and has not announced plans to stop.
[Source 2016][More on Animal Rights]"
product,Pennyblack,Womens Fashion
