The Ark,,,
ltgreen,,,
assess,ethical clothing australia accreditation,Social: Praise,"Accredited and licensed to display the 'Ethical Clothing Australia' Trade Mark on their Australian-made garments, which ensures Australian workers receive fair wages and decent conditions.
[Source 2017][More on Workers Rights]"
assess,Sustainability claims,Business Ethics: minor praise,"This company has social and ecological responsibility claims on its website.
[Source 2015][More on Sustainability Reporting]"
product,The Ark,Womens Fashion,
